udi,product_id,product_variant,air_temperature_k,process_temperature_k,temp_difference_k,rotational_speed_rpm,torque_nm,power_kw,tool_wear_min,overstrain_index,machine_failure,operational_status,failure_type,twf,hdf,pwf,osf,rnf
1,M14860,Medium Variant (M),298.10,308.60,10.50,1551,42.80,6.952,0,0.00,0,Healthy,No Failure,0,0,0,0,0
2,L47181,Low Variant (L),298.20,308.70,10.50,1408,46.30,6.827,3,138.90,0,Healthy,No Failure,0,0,0,0,0
3,L47182,Low Variant (L),298.10,308.50,10.40,1498,49.40,7.749,5,247.00,0,Healthy,No Failure,0,0,0,0,0
4,L47183,Low Variant (L),298.20,308.60,10.40,1433,39.50,5.928,7,276.50,0,Healthy,No Failure,0,0,0,0,0
5,L47184,Low Variant (L),298.20,308.70,10.50,1408,40.00,5.898,9,360.00,0,Healthy,No Failure,0,0,0,0,0
6,M14865,Medium Variant (M),298.10,308.60,10.50,1425,41.90,6.253,11,460.90,0,Healthy,No Failure,0,0,0,0,0
7,L47186,Low Variant (L),298.10,308.60,10.50,1558,42.40,6.918,14,593.60,0,Healthy,No Failure,0,0,0,0,0
8,L47187,Low Variant (L),298.10,308.60,10.50,1527,40.20,6.428,16,643.20,0,Healthy,No Failure,0,0,0,0,0
9,M14868,Medium Variant (M),298.30,308.70,10.40,1667,28.60,4.993,18,514.80,0,Healthy,No Failure,0,0,0,0,0
10,M14869,Medium Variant (M),298.50,309.00,10.50,1741,28.00,5.105,21,588.00,0,Healthy,No Failure,0,0,0,0,0
11,H29424,High Variant (H),298.40,308.90,10.50,1782,23.90,4.460,24,573.60,0,Healthy,No Failure,0,0,0,0,0
12,H29425,High Variant (H),298.60,309.10,10.50,1423,44.30,6.601,29,1284.70,0,Healthy,No Failure,0,0,0,0,0
13,M14872,Medium Variant (M),298.60,309.10,10.50,1339,51.10,7.165,34,1737.40,0,Healthy,No Failure,0,0,0,0,0
14,M14873,Medium Variant (M),298.60,309.20,10.60,1742,30.00,5.473,37,1110.00,0,Healthy,No Failure,0,0,0,0,0
15,L47194,Low Variant (L),298.60,309.20,10.60,2035,19.60,4.177,40,784.00,0,Healthy,No Failure,0,0,0,0,0
16,L47195,Low Variant (L),298.60,309.20,10.60,1542,48.40,7.816,42,2032.80,0,Healthy,No Failure,0,0,0,0,0
17,M14876,Medium Variant (M),298.60,309.20,10.60,1311,46.60,6.398,44,2050.40,0,Healthy,No Failure,0,0,0,0,0
18,M14877,Medium Variant (M),298.70,309.20,10.50,1410,45.60,6.733,47,2143.20,0,Healthy,No Failure,0,0,0,0,0
19,H29432,High Variant (H),298.80,309.20,10.40,1306,54.50,7.454,50,2725.00,0,Healthy,No Failure,0,0,0,0,0
20,M14879,Medium Variant (M),298.90,309.30,10.40,1632,32.50,5.554,55,1787.50,0,Healthy,No Failure,0,0,0,0,0
21,H29434,High Variant (H),298.90,309.30,10.40,1375,42.70,6.148,58,2476.60,0,Healthy,No Failure,0,0,0,0,0
22,L47201,Low Variant (L),298.80,309.30,10.50,1450,44.80,6.803,63,2822.40,0,Healthy,No Failure,0,0,0,0,0
23,M14882,Medium Variant (M),298.90,309.30,10.40,1581,30.70,5.083,65,1995.50,0,Healthy,No Failure,0,0,0,0,0
24,L47203,Low Variant (L),299.00,309.40,10.40,1758,25.70,4.731,68,1747.60,0,Healthy,No Failure,0,0,0,0,0
25,M14884,Medium Variant (M),299.00,309.40,10.40,1561,37.30,6.097,70,2611.00,0,Healthy,No Failure,0,0,0,0,0
26,L47205,Low Variant (L),299.00,309.50,10.50,1861,23.30,4.541,73,1700.90,0,Healthy,No Failure,0,0,0,0,0
27,L47206,Low Variant (L),299.10,309.50,10.40,1512,39.00,6.175,75,2925.00,0,Healthy,No Failure,0,0,0,0,0
